EC Ei1
0.000000 15.712500
51.450900 38.735200
51.450900 0.000000
16.860200 0.000000
75.272800 31.929200
75.272800 31.929200
97.789400 0.000000
97.789400 0.000000
58.956400 0.000000
58.195000 0.000000
97.136700 0.000000
97.136700 0.000000
97.136700 0.000000
97.136700 0.000000
23.495600 0.000000
23.495600 0.000000
0.000000 14.368200
15.011000 25.879500
0.000000 13.191800
0.000000 13.780000
61.349500 0.000000
0.000000 23.610800
0.000000 54.447700
0.000000 17.729100
0.000000 17.729100
0.000000 37.474800
0.000000 37.474800
58.521300 0.000000
109.863000 0.000000
55.910700 0.000000
19.035700 0.000000
58.847700 0.000000
58.847700 0.000000
0.000000 91.586500
0.000000 12.099500
0.000000 37.054700
0.000000 37.054700
0.000000 13.527900
31.545000 47.977900
83.104600 0.000000
83.104600 0.000000
61.784600 0.000000
83.539700 0.000000
99.094700 0.000000
99.094700 0.000000
25.453500 0.000000
77.557100 0.000000
77.557100 0.000000
67.114600 0.000000
32.959000 0.000000
0.000000 82.007700
13.488200 0.000000
43.184000 0.000000
104.860000 0.000000
0.000000 37.642900
21.537600 0.000000
0.000000 42.264200
0.000000 87.385300
0.000000 47.557800
0.000000 39.491400
0.000000 47.221700
0.000000 29.996700
15.554900 29.996700
0.000000 59.741300
10.040000 36.718600
